code,desc
43,"Homeland security, law enforcement, firefighting, and related protective services"
43.01,Criminal justice and corrections
43.0103,Criminal justice/law enforcement administration
43.0106,Forensic science and technology
43.0116,Cyber/computer forensics/counterterrorism
43.0117,Financial forensics and fraud investigation
43.02,Fire protection
43.03,Homeland security
44,Public administration and social services
44,"Human services, general"
44.0401,Public administration
44.0501,Public policy analysis
44.0701,Social Work
45,Social sciences
45.0201,Anthropology
45.0301,Archaeology
45.0401,Criminology
45.0601,Economics
45.0701,Geography
45.0901,International relations and affairs
45.1001,Political science and government
45.1101,Sociology
46,Construction trades
46,"Construction trades, general"
46.0201,Carpentry/carpenter
47,Mechanic and repair technologies/technician
47.01,Electrical/electronics maintenance and repair technology
47.0201,"Heating, air conditioning, ventilation and refrigeration maintenance technology"
47.0604,Automobile/automotive mechanics technology
47.0607,Airframe mechanics and aircraft maintenance technology
48,Precision production
48.05,Precision metal working
48.0501,Machine tool technology/machinist
49,Transportation and materials moving
49.0105,Air traffic controller
49.0106,Airline flight attendant
50,Visual and performing arts
50.0101,"Visual and performing arts, general"
50.0102,Digital arts
50.0301,Dance
50.04,Design and applied arts
50.0407,Fashion/apparel design
50.0408,Interior design
50.0409,Graphic design
50.0411,Game and interactive media design
50.0501,Drama and theater arts
50.0502,Technical theater/theater design and technology
50.0509,Musical theater
50.06,Film/video and photographic arts
50.0605,Photography
50.07,Fine and studio art
50.0703,"Art history, criticism and conservation"
50.09,Music
50.0902,"Music history, literature, and theory"
50.0903,"Music performance, general"
50.0904,Music theory and composition
50.0908,Voice and opera
50.0913,Music technology
50.1,"Arts, entertainment  and media management"
51,Health professions and related programs
51,Health services/allied health/health sciences
51.0001,Health and wellness
51.0101,Chiropractic
51.0201,Communication sciences and disorders
51.06,Dental support services and allied professions
51.0602,Dental hygiene/hygienist
51.0603,Dental laboratory technology/technician
51.07,Health and medical administrative services
51.0702,Hospital/health care facilities administration
51.08,Allied health and medical assisting services
51.09,"Allied health diagnostic, intervention, and treatment professions"
51.0905,Nuclear medical technology/technologist
51.0908,Respiratory care therapy/therapist
51.0909,Surgical technology/technologist
51.0911,Radiologic technology/science - radiographer
51.0912,Physician assistant
51.0913,Athletic training/trainer
51.1,Clinical/medical laboratory science/research and allied Professions
51.1101,Predentistry studies
51.1102,Premedicine/pre-medical studies
51.1103,Prepharmacy studies
51.1104,Preveterinary studies
51.1106,Prechiropractic studies
51.1107,Preoccupational therapy studies
51.1108,Preoptometry studies
51.1109,Prephysical therapy studies
51.15,Mental and social health services
51.1901,Osteopathic medicine/osteopathy (DO)
51.201,Pharmaceutical sciences
51.2011,Pharmaceutical marketing and management
51.2101,Podiatric medicine/podiatry (DPM)
51.2201,Public health
51.2202,Environmental health
51.23,Rehabilitation and therapeutic professions
51.2305,Music therapy/therapist
51.2309,Therapeutic recreation/recreational therapy
51.31,Dietetics and clinical nutrition services
51.33,Alternative and complementary medicine and medical systems
51.3801,Nursing
51.3804,Nurse anesthetist
52,"Business management, marketing, and related support services"
52.02,"Business administration, management, and operations"
52.0209,Transportation/mobility management
52.0211,Project management
52.03,Accounting and related services
52.0401,Administrative assistant and secretarial science
52.0601,Business/managerial economics
52.08,Finance and financial management services
52.0807,Investments and securities
52.0901,Hospitality administration/management
52.0907,Meeting and event planning
52.0909,"Hotel, motel, and restaurant management"
52.1001,Human resources management and services
52.1002,Labor and industrial relations
52.11,International business
52.1201,Management information systems/services
52.1302,Business statistics
52.1304,Actuarial science
52.1401,Marketing/marketing management
52.1501,Real estate
52.1701,Insurance
52.18,"General sales, merchandising, and related marketing operations"
52.1902,Fashion merchandising
52.2,Construction management
54,History
54.0101,"History, general"
54.0102,American history (United States)
54.0103,European history
990,Other
998,No Response
999,Undecided
